,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
7974,Godzilla (2015),PS4,2014,Action,Namco Bandai Games,0.11,0.03,0.02,0.03,0.19,,,,,,
7975,Fairy Fencer F,PS3,2013,Role-Playing,Nippon Ichi Software,0.05,0.03,0.09,0.02,0.19,65.0,31.0,7.4,50.0,Compile Heart,T
7976,Shadows of the Damned,X360,2011,Action,Electronic Arts,0.1,0.06,0.01,0.02,0.19,76.0,76.0,8.4,139.0,Grasshopper Manufacture,M
7977,Treasures of the Deep,PS,1997,Action,Namco Bandai Games,0.1,0.07,0.0,0.01,0.19,,,,,,
7978,Phantasy Star Online Ver. 2,DC,2001,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19,80.0,10.0,8.9,18.0,Sonic Team,T
7979,Cabela's Survival: Shadows of Katmai,PS3,2011,Sports,Activision,0.11,0.05,0.0,0.02,0.18,,,7.4,5.0,Activision,T
7980,Hot Wheels: Battle Force 5,Wii,2009,Racing,Activision,0.17,0.0,0.0,0.01,0.18,,,tbd,,Sidhe Interactive,E10+
7981,Go Play: Lumberjacks,Wii,2009,Simulation,Majesco Entertainment,0.17,0.0,0.0,0.01,0.18,,,tbd,,Panic Button,E
7982,Fight Club,PS2,2004,Fighting,Vivendi Games,0.09,0.07,0.0,0.02,0.18,36.0,28.0,4.4,22.0,Genuine Games,M
7983,Samurai Warriors: State of War,PSP,2005,Action,Tecmo Koei,0.07,0.0,0.11,0.01,0.18,64.0,30.0,6.4,8.0,Omega Force,T
7984,Cabela's Survival: Shadows of Katmai,X360,2011,Sports,Activision,0.14,0.03,0.0,0.01,0.18,,,3.5,6.0,Activision,T
7985,Dragon Blade: Wrath of Fire,Wii,2007,Action,D3Publisher,0.17,0.0,0.0,0.01,0.18,51.0,19.0,7.5,17.0,D3Publisher,T
7986,Guilty Gear Xrd: Sign,PS3,2014,Fighting,Arc System Works,0.1,0.0,0.07,0.02,0.18,,,,,,
7987,Dance Dance Revolution: Disney Grooves,Wii,2009,Simulation,Konami Digital Entertainment,0.17,0.0,0.0,0.01,0.18,,,tbd,,Konami,E
7988,Camping Mama: Outdoor Adventures,DS,2011,Simulation,505 Games,0.12,0.05,0.0,0.02,0.18,51.0,5.0,tbd,,Racjin,E
7989,Harvest Moon: A Wonderful Life Special Edition,PS2,2004,Simulation,505 Games,0.09,0.07,0.0,0.02,0.18,,,8.9,54.0,Marvelous,E
7990,Sports Illustrated for Kids: Football,GBA,2003,Sports,BAM! Entertainment,0.13,0.05,0.0,0.0,0.18,,,,,,
7991,The Munchables,Wii,2009,Action,Namco Bandai Games,0.17,0.0,0.0,0.01,0.18,71.0,33.0,8.2,5.0,Now Production,E
7992,How to Train Your Dragon 2,Wii,2014,Adventure,Little Orbit,0.04,0.13,0.0,0.01,0.18,,,tbd,,Torus Games,E10+
7993,.hack//Quarantine Part 4: The Final Chapter,PS2,2003,Role-Playing,Atari,0.09,0.07,0.0,0.02,0.18,,,,,,
7994,The Smurfs 2,DS,2013,Platform,Ubisoft,0.0,0.17,0.0,0.01,0.18,,,tbd,,WayForward,E
7995,Close Combat: First to Fight,XB,2005,Shooter,Take-Two Interactive,0.14,0.04,0.0,0.01,0.18,69.0,46.0,7.8,10.0,Destineer,T
7996,Indiana Jones and the Emperor's Tomb,XB,2003,Action,LucasArts,0.14,0.04,0.0,0.01,0.18,73.0,43.0,8.6,17.0,Double Helix Games,T
7997,Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003,Action,Vivendi Games,0.09,0.07,0.0,0.02,0.18,72.0,27.0,8.9,47.0,Eurocom Entertainment Software,T
7998,Remington Super Slam Hunting: North America,Wii,2010,Sports,Mastiff,0.17,0.0,0.0,0.01,0.18,,,tbd,,Jack of All Games,T
7999,Reel Fishing II,PS,2000,Sports,Victor Interactive,0.1,0.07,0.0,0.01,0.18,,,,,,
8000,Battle of Giants: Dinosaurs Strike,Wii,2010,Strategy,Ubisoft,0.14,0.03,0.0,0.01,0.18,,,tbd,,Ubisoft Quebec,E10+
8001,Ty the Tasmanian Tiger,XB,2002,Platform,Electronic Arts,0.14,0.04,0.0,0.01,0.18,68.0,13.0,8.5,11.0,Krome Studios,E
8002,Imagine: Babyz Fashion,DS,2009,Simulation,Ubisoft,0.17,0.0,0.0,0.01,0.18,,,tbd,,Ubisoft,E
8003,Dead or Alive,SAT,1997,Fighting,Tecmo Koei,0.0,0.0,0.18,0.0,0.18,,,,,,
8004,Active Health with Carol Vorderman,DS,2009,Sports,Nintendo,0.0,0.18,0.0,0.01,0.18,,,,,,
8005,Driving Emotion Type-S,PS2,2000,Racing,Electronic Arts,0.04,0.03,0.11,0.01,0.18,55.0,18.0,tbd,,Escape,E
8006,Heavy Fire: Afghanistan,PS3,2011,Shooter,Unknown,0.17,0.0,0.0,0.02,0.18,39.0,5.0,3.3,16.0,Teyon,T
8007,Siren,PS2,2003,Adventure,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.18,72.0,48.0,7.8,41.0,SCE Japan Studio,M
8008,NARC,XB,2005,Shooter,Midway Games,0.14,0.04,0.0,0.01,0.18,51.0,27.0,2.8,6.0,Point of View,M
8009,Driver: San Francisco,PC,2011,Racing,Ubisoft,0.05,0.1,0.0,0.03,0.18,80.0,11.0,7,332.0,Ubisoft Reflections,T
8010,Just Dance 2017,Wii,2016,Misc,Ubisoft,0.06,0.11,0.0,0.01,0.18,,,tbd,,Ubisoft Paris,E10+
8011,NASCAR Unleashed,Wii,2011,Racing,Activision,0.17,0.0,0.0,0.01,0.18,,,tbd,,Firebrand Games,E
8012,Super Robot Taisen J,GBA,2005,Strategy,Banpresto,0.0,0.0,0.18,0.0,0.18,,,,,,
8013,Shape Up,XOne,2014,Misc,Ubisoft,0.08,0.09,0.0,0.01,0.18,58.0,6.0,8.3,28.0,Ubisoft Montreal,E
8014,Nep League DS,DS,2007,Sports,Jaleco,0.0,0.0,0.18,0.0,0.18,,,,,,
8015,Happy Cooking,DS,2006,Simulation,Ubisoft,0.17,0.0,0.0,0.01,0.18,,,tbd,,Ubisoft,E
8016,Ar tonelico 2: Melody of Metafalica,PS2,2007,Role-Playing,Nippon Ichi Software,0.04,0.03,0.11,0.01,0.18,,,,,,
8017,Cars: Race-O-Rama,PS3,2009,Racing,THQ,0.14,0.03,0.0,0.02,0.18,61.0,5.0,tbd,,Incinerator Games,E
8018,Jewel Master: Cradle of Athena,DS,2010,Puzzle,Storm City Games,0.17,0.0,0.0,0.01,0.18,,,tbd,,CokeM Interactive,E10+
8019,Saw II: Flesh & Blood,PS3,2010,Action,Konami Digital Entertainment,0.1,0.06,0.0,0.02,0.18,,,,,,
8020,Hidden Mysteries: Vampire Secrets,DS,2010,Adventure,Astragon,0.06,0.11,0.0,0.02,0.18,,,tbd,,Gunnar Games,E10+
8021,Casper: Friends Around the World,PS,2000,Action,TDK Core,0.1,0.07,0.0,0.01,0.18,,,,,,
8022,Jurassic Park III: Island Attack,GBA,2001,Adventure,Konami Digital Entertainment,0.13,0.05,0.0,0.0,0.18,57.0,6.0,tbd,,Konami,E
8023,Jikkyou Powerful Pro Baseball 2016,PSV,2016,Sports,Konami Digital Entertainment,0.0,0.0,0.18,0.0,0.18,,,,,,
8024,Star Trek: Legacy,X360,0,Simulation,Ubisoft,0.14,0.02,0.0,0.01,0.18,64.0,41.0,5.5,42.0,Mad Doc Software,E10+
8025,Tekken Tag Tournament 2,WiiU,2012,Fighting,Namco Bandai Games,0.09,0.07,0.01,0.01,0.18,,,,,,
8026,GameBoy Wars,GB,1991,Strategy,Nintendo,0.0,0.0,0.18,0.0,0.18,,,,,,
8027,Amplitude,PS2,2003,Misc,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.18,86.0,35.0,8.8,26.0,Harmonix Music Systems,T
8028,Disgaea DS,DS,2008,Role-Playing,Square Enix,0.11,0.01,0.05,0.01,0.18,82.0,32.0,7.5,35.0,Nippon Ichi Software,T
8029,Gauntlet: Seven Sorrows,XB,2005,Role-Playing,Midway Games,0.14,0.04,0.0,0.01,0.18,61.0,36.0,7.8,4.0,Midway,T
8030,AirForce Delta Storm,XB,2001,Shooter,Konami Digital Entertainment,0.14,0.04,0.0,0.01,0.18,61.0,21.0,7.1,7.0,KCE Studios,E
8031,Metal Gear Solid V: The Phantom Pain,X360,2015,Action,Konami Digital Entertainment,0.12,0.04,0.0,0.02,0.18,,,7.2,159.0,"Kojima Productions, Moby Dick Studio",M
8032,Monopoly Party,XB,2002,Misc,Infogrames,0.14,0.04,0.0,0.01,0.18,,,,,,
8033,Fear Effect 2: Retro Helix,PS,2001,Action,Eidos Interactive,0.1,0.07,0.0,0.01,0.18,84.0,15.0,8.9,17.0,Kronos Digital Entertainment,M
8034,Chaotic: Shadow Warriors,DS,2009,Action,Activision,0.17,0.0,0.0,0.01,0.18,,,tbd,,FUN Labs,E10+
8035,Ninja Gaiden 3,WiiU,2012,Action,Nintendo,0.14,0.03,0.0,0.02,0.18,,,,,,
8036,Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014,Role-Playing,Tecmo Koei,0.06,0.02,0.08,0.02,0.18,76.0,26.0,7.7,44.0,Gust,E10+
8037,Mahjong: Journey Quest for Tikal,DS,2008,Puzzle,Rondomedia,0.15,0.02,0.0,0.01,0.18,,,tbd,,MumboJumbo,E
8038,Call of Duty: World at War,PC,2008,Shooter,Activision,0.02,0.14,0.0,0.03,0.18,83.0,36.0,7.5,721.0,Treyarch,M
8039,CSI: Fatal Conspiracy,PS3,2010,Adventure,Ubisoft,0.11,0.05,0.0,0.02,0.18,39.0,5.0,5.6,13.0,Telltale Games,M
8040,Chocobo no Fushigi Dungeon for WonderSwan,WS,1999,Role-Playing,Namco Bandai Games,0.0,0.0,0.18,0.0,0.18,,,,,,
8041,International Superstar Soccer 2000 (JP weekly sales),N64,1999,Sports,Konami Digital Entertainment,0.0,0.0,0.18,0.0,0.18,,,,,,
8042,Ringling Bros. and Barnum & Bailey Circus,Wii,2009,Action,Take-Two Interactive,0.17,0.0,0.0,0.01,0.18,,,,,,
8043,Klonoa: Door to Phantomile,PS,1997,Platform,Sony Computer Entertainment,0.0,0.0,0.17,0.01,0.18,,,,,,
8044,Vietcong: Purple Haze,PS2,2004,Shooter,Gathering of Developers,0.09,0.07,0.0,0.02,0.18,48.0,11.0,4.3,6.0,Coyote Developments,M
8045,Atari Anniversary Advance,GBA,2002,Misc,Atari,0.13,0.05,0.0,0.0,0.18,75.0,7.0,tbd,,Digital Eclipse,E
8046,Summer Athletics: The Ultimate Challenge,PS2,2008,Sports,DTP Entertainment,0.0,0.0,0.0,0.18,0.18,,,tbd,,49Games,E
8047,Hatsune Miku and Future Stars: Project Mirai,3DS,2012,Misc,Sega,0.0,0.0,0.18,0.0,0.18,,,,,,
8048,X-Men Origins: Wolverine,PS2,2009,Action,Activision,0.13,0.0,0.0,0.05,0.18,,,6.8,16.0,Amaze Entertainment,T
8049,Syndicate,X360,2012,Shooter,Electronic Arts,0.1,0.06,0.0,0.02,0.18,74.0,65.0,7.1,174.0,Starbreeze,M
8050,Zumba Fitness Rush,X360,2012,Sports,505 Games,0.0,0.16,0.0,0.02,0.18,73.0,7.0,6.2,5.0,"Majesco Games, Majesco",E10+
8051,Call of Juarez,X360,2007,Shooter,Ubisoft,0.14,0.02,0.0,0.01,0.18,71.0,37.0,6.9,46.0,Techland,M
8052,TalkMan (Japan),PSP,2005,Misc,Sony Computer Entertainment,0.0,0.0,0.18,0.0,0.18,,,,,,
8053,Ghostbusters: The Video Game,PSP,2009,Action,Atari,0.16,0.01,0.0,0.02,0.18,54.0,13.0,4.7,13.0,Red Fly Studio,E10+
8054,Bloody Roar: Primal Fury,GC,2002,Fighting,Activision,0.14,0.04,0.0,0.0,0.18,75.0,27.0,8.5,20.0,Eighting/Raizing,T
8055,Mega Man Soccer,SNES,1993,Sports,Capcom,0.04,0.01,0.13,0.0,0.18,,,,,,
8056,MotoGP,Wii,2009,Racing,Capcom,0.05,0.11,0.0,0.02,0.18,44.0,10.0,5.4,11.0,Milestone S.r.l,E
8057,Mushroom Men: The Spore Wars,Wii,2008,Action,SouthPeak Games,0.16,0.01,0.0,0.01,0.18,72.0,37.0,8.7,33.0,Red Fly Studio,E10+
8058,Saint Seiya: Soldiers' Soul,PS4,2015,Fighting,Namco Bandai Games,0.0,0.12,0.04,0.02,0.18,59.0,30.0,7.8,45.0,Dimps Corporation,T
8059,Brunswick Pro Bowling,PS3,2010,Sports,505 Games,0.1,0.05,0.0,0.02,0.18,47.0,6.0,tbd,,Farsight Studios,E
8060,LEGO Harry Potter: Years 5-7,PSV,2012,Action,Warner Bros. Interactive Entertainment,0.07,0.07,0.0,0.03,0.18,64.0,19.0,6.8,21.0,Traveller's Tales,E10+
8061,FIFA Soccer 07,GC,2006,Sports,Electronic Arts,0.14,0.04,0.0,0.0,0.18,,,,,,
8062,Rabbids Party Collection,Wii,2010,Misc,Ubisoft,0.0,0.16,0.0,0.02,0.18,,,,,,
8063,Corpse Party: Blood Drive,PSV,2014,Adventure,Marvelous Interactive,0.08,0.01,0.06,0.03,0.18,60.0,19.0,7.4,58.0,5pb,M
8064,The Last Airbender,DS,2010,Action,THQ,0.13,0.04,0.0,0.01,0.18,69.0,6.0,7,4.0,THQ,E10+
8065,My Fitness Coach 2: Exercise and Nutrition,Wii,2009,Sports,Black Bean Games,0.13,0.03,0.0,0.01,0.18,,,,,,
8066,Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,2004,Misc,Nintendo,0.13,0.05,0.0,0.0,0.18,,,,,,
8067,Vampire Savior: The Lord of Vampire,SAT,1998,Fighting,Capcom,0.0,0.0,0.18,0.0,0.18,,,,,,
8068,Backbreaker,X360,0,Sports,Unknown,0.17,0.0,0.0,0.01,0.18,54.0,29.0,7.6,68.0,NaturalMotion,E
8069,UFC Personal Trainer: The Ultimate Fitness System,Wii,2011,Sports,THQ,0.11,0.06,0.0,0.02,0.18,54.0,5.0,tbd,,THQ,E
8070,MotoGP 14 ,PS4,2014,Racing,Milestone S.r.l.,0.04,0.11,0.0,0.03,0.18,73.0,28.0,6.4,26.0,Milestone S.r.l,E
8071,Shrek SuperSlam,DS,2005,Action,Activision,0.17,0.0,0.0,0.01,0.18,,,,,,
8072,Alone in the Dark,Wii,2008,Adventure,Atari,0.09,0.08,0.0,0.02,0.18,39.0,10.0,4.4,34.0,Hydravision,M
8073,Super Robot Taisen UX,3DS,2013,Role-Playing,Namco Bandai Games,0.0,0.0,0.18,0.0,0.18,,,,,,
8074,Skylanders Imaginators,WiiU,2016,Platform,Activision,0.09,0.08,0.0,0.02,0.18,76.0,4.0,tbd,,Toys for Bob,E10+
8075,Six Flags Fun Park,DS,2008,Misc,Brash Entertainment,0.17,0.0,0.0,0.01,0.18,34.0,4.0,7,4.0,Brash Entertainment,E
8076,Test Drive Off-Road Wide Open,XB,2001,Racing,Infogrames,0.15,0.03,0.0,0.01,0.18,64.0,21.0,8.3,9.0,Rockstar San Diego,E
8077,Jeopardy!,DS,2010,Misc,THQ,0.17,0.0,0.0,0.01,0.18,,,,,,
8078,Pro Yaky? Spirits 2011,PS3,2011,Sports,Konami Digital Entertainment,0.0,0.0,0.18,0.0,0.18,,,,,,
8079,Doctor Who: Return to Earth,Wii,2010,Adventure,Asylum Entertainment,0.0,0.16,0.0,0.02,0.18,,,,,,
8080,Battle Commander: Hachibushu Shura no Heihou,SNES,1991,Strategy,Banpresto,0.0,0.0,0.18,0.0,0.18,,,,,,
8081,WWE All Stars,PSP,2011,Fighting,THQ,0.12,0.04,0.0,0.03,0.18,70.0,4.0,6.6,5.0,THQ,T
8082,Jampack Vol. 1,PS,1996,Misc,Sony Computer Entertainment,0.1,0.07,0.0,0.01,0.18,,,,,,
8083,Bad Boys: Miami Takedown,XB,2004,Shooter,Empire Interactive,0.14,0.04,0.0,0.01,0.18,35.0,20.0,5.9,9.0,Blitz Games,M
8084,Valhalla Knights 3,PSV,2013,Role-Playing,Xseed Games,0.04,0.01,0.12,0.01,0.18,48.0,19.0,6.8,56.0,K2,M
8085,Mega Man X: Command Mission,PS2,2004,Role-Playing,Capcom,0.09,0.07,0.0,0.02,0.18,69.0,27.0,7.1,18.0,"Valuewave Co.,Ltd.",E
8086,Tokyo Xtreme Racer DRIFT,PS2,2003,Racing,Genki,0.09,0.07,0.0,0.02,0.18,59.0,13.0,8.6,15.0,Genki,E
8087,Moon,PS,1997,Adventure,ASCII Entertainment,0.0,0.0,0.17,0.01,0.18,,,,,,
8088,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",DS,2005,Action,Disney Interactive Studios,0.15,0.01,0.0,0.01,0.18,65.0,20.0,7.5,4.0,Amaze Entertainment,E10+
8089,Cabela's Big Game Hunter 2005 Adventures,XB,2004,Sports,Activision,0.13,0.04,0.0,0.01,0.18,65.0,5.0,8.3,6.0,FUN Labs,T
8090,Re-Volt,N64,1999,Racing,Acclaim Entertainment,0.14,0.04,0.0,0.0,0.18,,,,,,
8091,Sesame Street: Elmo's Letter Adventure,N64,1999,Misc,NewKidCo,0.14,0.04,0.0,0.0,0.18,,,,,,
8092,Senran Kagura: Estival Versus,PSV,2015,Action,Marvelous Interactive,0.04,0.02,0.09,0.02,0.18,71.0,4.0,7.4,34.0,Marvelous Inc.,M
8093,Might & Magic: Clash of Heroes,DS,2009,Role-Playing,Ubisoft,0.15,0.02,0.0,0.01,0.18,,,,,,
8094,GRID Autosport,PS3,2014,Racing,Codemasters,0.05,0.09,0.01,0.03,0.18,75.0,35.0,6.8,62.0,Codemasters,E
8095,Gokujou Parodius,SNES,1994,Shooter,Konami Digital Entertainment,0.0,0.0,0.18,0.0,0.18,,,,,,
8096,Half-Minute Hero,PSP,2009,Role-Playing,Rising Star Games,0.08,0.01,0.07,0.01,0.18,84.0,41.0,7.8,38.0,Opus,E10+
8097,Gauntlet: Dark Legacy,GC,2002,Action,Midway Games,0.14,0.04,0.0,0.0,0.18,60.0,20.0,9.1,16.0,Midway,T
8098,A.C.E.: Another Century's Episode 2,PS2,2006,Simulation,Banpresto,0.0,0.0,0.18,0.0,0.18,,,,,,
8099,The Chronicles of Narnia: Prince Caspian,X360,2008,Action,Disney Interactive Studios,0.16,0.01,0.0,0.01,0.18,56.0,24.0,7.5,13.0,Traveller's Tales,T
8100,Company of Heroes: Anthology,PC,2009,Strategy,THQ,0.0,0.15,0.0,0.03,0.18,,,,,,
8101,Shadow The Hedgehog,XB,2005,Platform,Sega,0.13,0.04,0.0,0.01,0.18,49.0,24.0,5.5,36.0,Sega,E10+
8102,Daigasso! Band Brothers P,3DS,2013,Misc,Nintendo,0.0,0.0,0.18,0.0,0.18,,,,,,
8103,Batman: Vengeance,GBA,2001,Adventure,Ubisoft,0.13,0.05,0.0,0.0,0.18,68.0,8.0,tbd,,Ubisoft Montreal,E
8104,Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,DC,2000,Sports,Sega,0.0,0.0,0.18,0.0,0.18,,,,,,
8105,The Adventures of Cookie & Cream,PS2,2000,Puzzle,Empire Interactive,0.09,0.07,0.0,0.02,0.18,,,,,,
8106,World of Outlaws: Sprint Cars,X360,2010,Racing,THQ,0.17,0.0,0.0,0.01,0.18,57.0,4.0,8.1,10.0,Big Ant Studios,E
8107,Van Helsing,XB,2007,Action,Activision,0.13,0.04,0.0,0.01,0.18,63.0,32.0,7.6,8.0,Saffire,T
8108,Grand Slam Tennis 2,X360,2012,Sports,Electronic Arts,0.1,0.06,0.0,0.02,0.18,71.0,45.0,5.1,14.0,EA Sports,E
8109,Ben 10 Ultimate Alien: Cosmic Destruction,X360,2010,Platform,D3Publisher,0.1,0.06,0.0,0.02,0.18,51.0,5.0,5.3,4.0,Papaya Studios,E10+
8110,Pure Futbol,X360,2010,Sports,Ubisoft,0.08,0.08,0.0,0.02,0.18,38.0,20.0,7.9,29.0,Ubisoft Vancouver,E
8111,Spider-Man: Friend or Foe,PSP,2007,Action,Activision,0.16,0.0,0.0,0.01,0.18,58.0,7.0,4.4,9.0,Artificial Mind and Movement,E10+
8112,Sing4: The Hits Edition,Wii,2011,Misc,Crave Entertainment,0.17,0.0,0.0,0.01,0.18,,,tbd,,Crave,T
8113,Gun,GC,2005,Shooter,Activision,0.14,0.04,0.0,0.0,0.18,77.0,27.0,8.6,8.0,Neversoft Entertainment,M
8114,SoulCalibur Legends,Wii,2007,Action,Namco Bandai Games,0.16,0.01,0.0,0.01,0.18,52.0,35.0,5.7,24.0,Namco Bandai Games,T
8115,Rio,Wii,2011,Misc,THQ,0.13,0.03,0.0,0.01,0.18,,,tbd,,Eurocom Entertainment Software,E10+
8116,F1 Challenge,SAT,1994,Racing,Sega,0.0,0.0,0.18,0.0,0.18,,,,,,
8117,Squeeballs Party,Wii,2009,Puzzle,Performance Designed Products,0.17,0.0,0.0,0.01,0.18,59.0,16.0,tbd,,Performance Designed Products,E10+
8118,Metal Gear Ac!d 2,PSP,2005,Strategy,Konami Digital Entertainment,0.11,0.0,0.05,0.01,0.18,,,,,,
8119,Shadow Madness,PS,1999,Action,Crave Entertainment,0.1,0.07,0.0,0.01,0.18,,,,,,
8120,Aliens: Colonial Marines,PC,2013,Shooter,Sega,0.1,0.06,0.0,0.02,0.18,45.0,40.0,3.5,1156.0,Gearbox Software,M
8121,Tiger Woods PGA Tour 2004,GBA,2003,Sports,Electronic Arts,0.13,0.05,0.0,0.0,0.18,75.0,5.0,7.5,4.0,Backbone Emeryville,E
8122,The Game of Life / Yahtzee / Payday,GBA,2005,Misc,Zoo Digital Publishing,0.13,0.05,0.0,0.0,0.18,,,,,,
8123,FIFA Soccer 11,PC,2010,Sports,Electronic Arts,0.0,0.14,0.0,0.04,0.18,83.0,16.0,7.7,102.0,EA Sports,E
8124,American Chopper 2: Full Throttle,PS2,2005,Racing,Zoo Digital Publishing,0.09,0.07,0.0,0.02,0.18,,,8.1,9.0,Creat Studios,T
8125,Borderlands,PC,2009,Shooter,Take-Two Interactive,0.01,0.14,0.0,0.03,0.18,81.0,37.0,7.8,1363.0,Gearbox Software,M
8126,de Blob 2,Wii,2011,Platform,THQ,0.11,0.06,0.0,0.02,0.18,79.0,20.0,8.1,26.0,Blue Tongue Entertainment,E10+
8127,Silent Hill 4: The Room,XB,2004,Action,Konami Digital Entertainment,0.14,0.04,0.0,0.01,0.18,76.0,43.0,8.3,26.0,KCET,M
8128,Commandos 2: Men of Courage,PS2,2002,Strategy,Eidos Interactive,0.09,0.07,0.0,0.02,0.18,67.0,19.0,6.8,11.0,Pyro Studios,T
8129,Remember Me,X360,2013,Action,Capcom,0.1,0.06,0.0,0.02,0.18,70.0,42.0,7.5,267.0,DONTNOD Entertainment,M
8130,Brink,PC,2011,Shooter,Bethesda Softworks,0.06,0.09,0.0,0.03,0.18,70.0,38.0,6,547.0,Splash Damage,T
8131,FIFA Soccer 2002,GC,2001,Sports,Electronic Arts,0.14,0.04,0.0,0.0,0.18,81.0,13.0,8,9.0,EA Sports,E
8132,Pro Evolution Soccer 2013,3DS,2012,Sports,Konami Digital Entertainment,0.05,0.02,0.1,0.01,0.18,,,,,,
8133,Atari Anniversary Edition Redux,PS,2000,Misc,Infogrames,0.1,0.07,0.0,0.01,0.18,72.0,5.0,,,Digital Eclipse,E
8134,Lips: Party Classics,X360,2010,Misc,Microsoft Game Studios,0.05,0.11,0.0,0.02,0.18,69.0,10.0,tbd,,iNiS,T
8135,Toukiden: The Age of Demons,PSP,2013,Action,Tecmo Koei,0.0,0.0,0.18,0.0,0.18,,,,,,
8136,Fireblade,PS2,2002,Action,Midway Games,0.09,0.07,0.0,0.02,0.18,,,,,,
8137,Disney's Tarzan Untamed,GC,2001,Platform,Ubisoft,0.14,0.04,0.0,0.0,0.18,61.0,11.0,7.4,8.0,Ubisoft Montreal,E
8138,Brunswick Circuit Pro Bowling,PS,1998,Sports,THQ,0.1,0.07,0.0,0.01,0.18,,,,,,
8139,Marvel Super Hero Squad: Comic Combat,Wii,2011,Action,THQ,0.14,0.03,0.0,0.01,0.18,,,tbd,,THQ,E10+
8140,Trinity Universe,PS3,2009,Role-Playing,Nippon Ichi Software,0.07,0.05,0.03,0.02,0.18,62.0,25.0,7.2,28.0,"Gust, Idea Factory",T
8141,Payday 2,XOne,2015,Shooter,505 Games,0.09,0.07,0.0,0.02,0.18,,,,,,
8142,Pirates: Hunt For Blackbeard's Booty,Wii,2008,Adventure,Activision,0.08,0.08,0.0,0.02,0.18,,,tbd,,Activision,E
8143,Cabela's Dangerous Hunts 2009,PS2,2008,Sports,Activision Value,0.09,0.07,0.0,0.02,0.18,,,9.2,5.0,FUN Labs,T
8144,Senran Kagura: Estival Versus,PS4,2015,Action,Marvelous Interactive,0.08,0.0,0.08,0.02,0.18,67.0,25.0,8,96.0,Marvelous Inc.,M
8145,Ball Breakers,PS,2000,Action,Take-Two Interactive,0.1,0.07,0.0,0.01,0.18,68.0,10.0,5.3,4.0,Lost Toys,E
8146,Mobile Suit Gundam Seed Destiny: Generation of C.E.,PS2,2005,Action,Namco Bandai Games,0.0,0.0,0.18,0.0,0.18,,,,,,
8147,Splatterhouse,X360,2010,Action,Namco Bandai Games,0.14,0.03,0.0,0.01,0.18,62.0,51.0,7.6,60.0,"Namco Bandai Games America, Namco Bandai Games",M
8148,EyeToy: Groove,PS2,2003,Misc,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.18,73.0,34.0,8,5.0,SCEE,E
8149,You Don't Know Jack,PS3,2011,Misc,THQ,0.16,0.0,0.0,0.01,0.18,82.0,11.0,7.3,18.0,"Jellyvision, Iron Galaxy Studios",T
8150,Chuck E. Cheese's Party Games,DS,2010,Misc,UFO Interactive,0.17,0.0,0.0,0.01,0.18,,,tbd,,UFO Interactive,E
8151,Twisted Metal: Small Brawl,PS,0,Action,Unknown,0.1,0.07,0.0,0.01,0.18,51.0,14.0,7.6,49.0,Incognito Inc.,T
8152,Otomedius Excellent,X360,0,Shooter,Unknown,0.13,0.0,0.04,0.01,0.18,48.0,8.0,8.1,16.0,Konami,T
8153,Charlie and the Chocolate Factory,GC,2005,Adventure,Global Star,0.14,0.04,0.0,0.0,0.18,39.0,16.0,3.2,6.0,"High Voltage Software, Backbone Entertainment",E
8154,Armored Core: Last Raven,PS2,2005,Simulation,505 Games,0.05,0.04,0.08,0.01,0.18,59.0,16.0,8.9,14.0,From Software,T
8155,Burnout Legends,DS,2005,Racing,Electronic Arts,0.15,0.02,0.0,0.01,0.18,38.0,12.0,6,59.0,Visual Impact,E
8156,Tomb Raider: Underworld,PS2,2009,Action,Eidos Interactive,0.09,0.04,0.0,0.05,0.18,,,5.8,30.0,Crystal Dynamics,T
8157,College Hoops 2K7,PS3,2007,Sports,Take-Two Interactive,0.16,0.0,0.0,0.01,0.18,81.0,9.0,7.1,8.0,2K Sports,E
8158,Hello Kitty: Birthday Adventures,DS,2010,Adventure,Namco Bandai Games,0.06,0.1,0.0,0.02,0.18,,,tbd,,OneNine Studios,E
8159,All Grown Up! Express Yourself,GBA,2004,Misc,THQ,0.13,0.05,0.0,0.0,0.18,,,,,,
8160,Escape The Museum,DS,2010,Adventure,Astragon,0.04,0.12,0.0,0.02,0.18,,,tbd,,Gogii Games,E
8161,K-1 World Grand Prix,PS2,2002,Sports,Konami Digital Entertainment,0.04,0.03,0.1,0.01,0.18,67.0,24.0,9,7.0,Konami,T
8162,Kidou Senshi Gundam: Senjou no Kizuna Portable,PSP,2009,Strategy,Namco Bandai Games,0.0,0.0,0.18,0.0,0.18,,,,,,
